每周学习时长（小时）,专业,性别,期中考试分数,期末考试分数,上课出勤率
22.52,大数据管理,男,71.06,73.98,74.0
29.46,人工智能,女,82.15,74.3,91.0
19.25,人工智能,男,92.1,76.01,89.0
18.13,人工智能,男,77.68,71.85,78.0
25.8,财务管理,女,76.45,77.77,77.0
17.87,大数据管理,女,88.69,63.69,83.0
21.43,工商管理,女,83.44,83.76,70.0
24.73,工商管理,女,63.44,63.82,72.0
16.54,电子商务,男,60.88,55.82,94.0
31.66,大数据管理,女,93.68,95.34,80.0
5.34,财务管理,男,68.66,63.37,85.0
20.19,财务管理,女,86.39,85.99,68.0
12.03,大数据管理,男,86.16,75.91,81.0
14.87,人工智能,男,81.06,70.57,75.0
23.13,电子商务,女,78.99,72.52,73.0
22.14,人工智能,男,58.02,68.68,81.0
25.3,人工智能,女,78.11,73.85,68.0
26.04,财务管理,女,47.28,55.72,77.0
20.1,大数据管理,男,100.0,92.62,98.0
17.87,工商管理,男,94.24,81.4,89.0
17.56,工商管理,女,94.65,82.56,83.0
16.23,财务管理,男,47.66,69.49,91.0
19.84,财务管理,男,96.36,82.97,88.0
24.45,工商管理,女,69.0,73.17,85.0
7.77,电子商务,男,86.98,63.42,68.0
19.34,人工智能,男,64.81,69.65,81.0
20.42,电子商务,男,77.84,76.55,74.0
14.16,电子商务,男,77.1,73.68,65.0
26.73,大数据管理,女,64.19,67.78,99.0
21.61,电子商务,女,95.76,77.35,64.0
18.04,财务管理,女,72.67,77.6,97.0
11.35,电子商务,男,58.04,61.46,89.0
31.35,电子商务,女,53.26,61.99,82.0
35.4,人工智能,女,83.15,90.86,63.0
25.24,大数据管理,女,61.33,57.21,83.0
28.24,工商管理,女,84.52,86.91,69.0
28.21,人工智能,女,58.36,57.52,66.0
16.36,工商管理,男,42.62,67.62,67.0
12.0,工商管理,女,75.11,55.18,90.0
33.88,人工智能,女,56.26,79.2,97.0
21.68,电子商务,男,81.03,77.05,81.0
31.59,人工智能,男,49.54,63.49,78.0
17.33,工商管理,女,65.24,71.33,99.0
13.71,工商管理,男,62.19,68.85,79.0
21.53,人工智能,女,64.68,60.09,74.0
11.73,工商管理,男,80.51,64.76,85.0
12.66,财务管理,女,81.31,78.7,76.0
18.1,工商管理,女,81.42,63.16,86.0
11.01,人工智能,女,79.45,61.74,66.0
12.79,财务管理,女,76.44,95.07,89.0
16.66,大数据管理,女,81.51,65.69,76.0
22.54,人工智能,男,89.25,89.63,70.0
10.97,工商管理,女,61.78,54.98,62.0
10.3,大数据管理,女,86.37,77.68,86.0
23.86,电子商务,女,70.45,78.06,91.0
35.67,工商管理,男,61.28,77.29,72.0
18.91,大数据管理,女,79.79,71.64,65.0
30.05,大数据管理,女,82.23,96.72,80.0
18.83,电子商务,女,57.52,57.96,86.0
40.0,电子商务,男,74.2,84.98,95.0
30.83,电子商务,女,70.48,77.73,85.0
40.0,大数据管理,男,79.94,75.87,68.0
16.38,工商管理,女,61.53,62.21,72.0
29.18,人工智能,男,82.51,83.45,98.0
13.71,工商管理,男,85.13,72.56,88.0
15.91,工商管理,男,72.34,91.89,90.0
20.13,财务管理,男,81.46,66.56,64.0
13.39,工商管理,女,67.55,75.72,91.0
29.91,电子商务,女,81.84,88.16,96.0
25.47,电子商务,女,87.19,81.67,88.0
40.0,人工智能,女,85.68,82.1,69.0
23.33,电子商务,男,53.55,59.28,89.0
22.81,人工智能,男,71.38,69.0,93.0
11.78,财务管理,男,98.5,73.5,78.0
16.05,工商管理,男,76.6,61.42,72.0
17.68,大数据管理,男,95.6,70.6,85.0
35.83,财务管理,女,66.1,88.15,97.0
8.94,财务管理,男,91.37,82.53,95.0
22.42,工商管理,女,77.42,80.59,83.0
16.34,电子商务,男,73.65,73.0,80.0
26.74,财务管理,女,50.48,62.26,62.0
11.7,工商管理,男,96.85,96.14,98.0
28.35,财务管理,男,71.93,72.19,87.0
34.35,电子商务,女,71.59,75.04,65.0
18.69,工商管理,男,62.85,71.58,84.0
18.43,电子商务,男,60.7,50.72,63.0
18.28,大数据管理,男,80.53,97.94,83.0
27.39,工商管理,女,82.33,82.76,95.0
24.2,人工智能,女,86.03,77.62,64.0
29.41,工商管理,女,100.0,95.12,69.0
37.18,工商管理,女,68.13,87.25,96.0
11.99,人工智能,女,93.71,76.69,63.0
17.36,财务管理,男,60.35,65.21,92.0
20.21,人工智能,女,57.76,52.81,99.0
11.69,电子商务,女,78.31,63.1,76.0
18.38,工商管理,女,48.85,63.73,78.0
26.54,电子商务,男,67.14,79.73,99.0
18.25,财务管理,男,50.72,72.01,91.0
26.01,电子商务,男,84.94,77.53,68.0
18.18,电子商务,女,69.78,54.65,72.0
13.69,大数据管理,女,67.01,71.03,64.0
28.01,电子商务,女,78.69,89.08,91.0
29.88,财务管理,男,91.77,92.68,75.0
24.14,工商管理,女,66.88,69.62,96.0
8.75,大数据管理,女,78.66,76.33,83.0
12.21,人工智能,男,83.64,100.0,84.0
13.79,大数据管理,女,80.64,72.0,69.0
26.08,大数据管理,女,93.49,74.52,86.0
22.18,电子商务,女,63.57,60.06,66.0
17.25,人工智能,男,67.8,71.63,83.0
12.47,人工智能,男,82.02,57.9,65.0
16.17,工商管理,女,70.93,70.17,72.0
23.4,人工智能,男,100.0,93.81,97.0
22.59,大数据管理,女,56.32,78.93,95.0
28.89,工商管理,女,78.75,89.43,88.0
20.79,人工智能,女,85.81,87.62,84.0
14.37,电子商务,女,88.69,63.69,97.0
8.11,人工智能,女,67.42,67.49,69.0
27.46,人工智能,女,52.98,70.56,95.0
18.15,大数据管理,女,63.7,68.58,92.0
16.01,财务管理,男,71.53,55.62,85.0
16.84,工商管理,男,69.91,63.92,96.0
28.37,大数据管理,女,95.09,79.55,94.0
6.91,大数据管理,男,73.64,48.64,72.0
5.0,人工智能,女,86.78,69.27,75.0
23.4,财务管理,男,64.6,59.64,65.0
25.31,人工智能,女,58.77,83.77,96.0
26.28,人工智能,男,87.37,78.69,69.0
7.7,大数据管理,女,86.68,81.43,69.0
25.35,大数据管理,男,83.19,70.15,86.0
30.52,人工智能,男,90.59,80.39,73.0
23.09,人工智能,女,80.36,72.3,61.0
14.93,人工智能,男,96.21,75.03,92.0
10.41,电子商务,男,89.92,69.07,63.0
14.81,大数据管理,男,100.0,78.47,79.0
12.76,大数据管理,女,74.84,65.73,85.0
23.28,财务管理,女,100.0,100.0,95.0
19.26,电子商务,男,80.1,77.59,79.0
16.63,大数据管理,男,53.51,65.68,81.0
14.47,电子商务,女,100.0,87.42,88.0
12.98,财务管理,女,72.87,71.96,68.0
8.88,人工智能,女,81.39,72.8,95.0
16.24,财务管理,女,86.52,72.91,63.0
20.76,大数据管理,女,53.41,64.49,83.0
13.45,大数据管理,男,95.58,91.43,83.0
21.75,财务管理,女,100.0,98.04,94.0
6.99,财务管理,男,91.38,69.73,80.0
17.21,大数据管理,男,61.83,74.77,97.0
13.61,财务管理,女,85.81,72.67,87.0
23.33,人工智能,女,74.21,73.26,63.0
22.17,人工智能,女,81.28,76.56,91.0
13.06,人工智能,女,62.14,61.21,94.0
15.75,财务管理,男,41.5,66.5,97.0
18.22,人工智能,女,70.23,72.37,100.0
27.85,人工智能,男,53.05,65.47,63.0
23.86,财务管理,女,78.2,65.34,89.0
17.99,工商管理,女,86.21,77.84,90.0
16.87,电子商务,女,56.92,57.8,81.0
5.0,财务管理,男,43.47,39.04,76.0
22.67,人工智能,男,73.08,74.91,85.0
14.68,工商管理,男,72.96,66.24,89.0
23.32,工商管理,女,69.06,73.04,90.0
20.06,大数据管理,男,70.42,71.88,100.0
28.99,工商管理,男,79.63,74.02,97.0
15.47,人工智能,女,77.38,67.55,68.0
17.59,人工智能,男,87.46,78.75,82.0
39.22,大数据管理,男,68.66,83.08,64.0
25.71,人工智能,女,85.71,79.16,71.0
29.27,人工智能,男,69.18,66.98,78.0
22.15,财务管理,女,70.44,74.15,74.0
32.77,大数据管理,男,100.0,100.0,82.0
9.66,人工智能,男,82.46,82.72,97.0
32.43,财务管理,女,86.26,85.85,75.0
38.75,大数据管理,男,86.94,92.13,90.0
10.67,工商管理,女,63.36,75.77,90.0
21.77,财务管理,男,60.99,72.8,67.0
26.59,大数据管理,女,73.14,75.64,72.0
21.51,电子商务,男,72.8,80.29,86.0
27.2,电子商务,男,65.33,61.73,83.0
29.88,财务管理,男,94.21,74.51,82.0
20.98,人工智能,女,87.95,83.61,87.0
14.81,财务管理,女,63.23,65.86,89.0
38.68,人工智能,女,77.16,81.71,85.0
12.53,人工智能,女,85.63,79.47,81.0
8.43,大数据管理,女,62.48,43.64,82.0
13.03,电子商务,男,84.36,69.92,94.0
35.74,工商管理,男,49.92,64.5,92.0
21.57,人工智能,女,80.98,66.25,96.0
27.8,财务管理,女,89.8,96.28,88.0
34.9,电子商务,女,45.68,56.73,71.0
5.0,工商管理,男,90.75,68.98,91.0
14.11,大数据管理,男,65.07,72.06,65.0
11.16,工商管理,男,86.71,78.05,83.0
22.26,大数据管理,女,87.92,70.25,73.0
26.74,工商管理,男,66.75,79.85,97.0
31.22,大数据管理,女,70.61,78.84,90.0
29.2,人工智能,女,69.4,94.4,98.0
14.51,财务管理,女,73.35,73.23,97.0
20.95,大数据管理,女,46.95,55.04,71.0
21.28,工商管理,女,79.65,70.35,90.0
13.24,工商管理,女,79.48,67.41,90.0
18.22,工商管理,女,76.71,61.62,68.0
6.02,工商管理,男,76.71,82.44,98.0
5.0,财务管理,女,85.27,68.37,72.0
16.93,大数据管理,男,63.63,70.61,79.0
15.06,大数据管理,男,98.0,93.5,83.0
22.13,电子商务,女,80.33,56.79,78.0
10.15,工商管理,女,94.27,92.3,96.0
15.25,电子商务,女,81.5,73.4,90.0
14.27,财务管理,男,99.88,85.05,89.0
21.7,人工智能,男,91.06,76.85,94.0
28.61,大数据管理,男,100.0,81.23,70.0
18.93,人工智能,男,92.51,82.7,73.0
29.84,财务管理,男,77.64,94.65,75.0
16.69,工商管理,女,87.24,83.72,74.0
8.85,财务管理,男,69.37,73.9,76.0
10.95,人工智能,男,63.62,57.28,63.0
24.89,大数据管理,男,84.33,74.98,89.0
19.45,财务管理,男,86.7,70.53,88.0
22.68,大数据管理,女,96.14,80.88,79.0
29.17,人工智能,女,90.0,71.18,79.0
22.21,财务管理,男,64.65,62.29,82.0
13.56,工商管理,男,68.33,59.85,84.0
24.05,人工智能,男,74.79,74.5,81.0
15.21,大数据管理,女,82.88,77.16,83.0
20.81,人工智能,女,79.61,74.71,63.0
6.01,人工智能,男,81.37,69.27,72.0
27.67,电子商务,男,83.82,75.83,74.0
32.68,大数据管理,女,100.0,77.29,73.0
8.0,财务管理,女,62.22,51.92,67.0
22.72,工商管理,女,68.1,57.63,61.0
28.97,人工智能,男,69.02,79.35,95.0
22.21,电子商务,女,66.62,78.8,87.0
21.69,工商管理,男,65.94,77.07,93.0
8.38,工商管理,男,74.75,75.76,95.0
20.61,大数据管理,男,80.7,73.09,65.0
34.78,人工智能,男,84.87,81.98,100.0
30.72,人工智能,女,68.17,70.53,79.0
16.69,大数据管理,男,89.03,65.36,95.0
21.16,财务管理,男,71.18,78.49,86.0
21.95,财务管理,女,60.28,64.28,90.0
28.69,人工智能,男,94.05,77.38,84.0
34.1,大数据管理,男,67.76,70.46,81.0
22.46,大数据管理,男,64.04,62.14,90.0
22.08,人工智能,女,63.16,70.04,99.0
21.81,工商管理,男,64.74,75.95,71.0
33.47,人工智能,女,87.38,85.18,94.0
12.29,财务管理,女,72.76,47.76,79.0
28.52,工商管理,男,58.42,67.26,89.0
23.06,大数据管理,女,67.78,69.19,68.0
20.57,工商管理,女,62.09,63.77,76.0
16.63,电子商务,男,82.93,68.62,64.0
18.44,电子商务,男,72.09,72.51,78.0
17.0,电子商务,男,87.35,80.05,87.0
9.28,人工智能,男,69.63,63.09,79.0
7.94,人工智能,女,56.38,60.7,68.0
19.46,财务管理,男,84.7,75.07,83.0
20.7,电子商务,女,66.31,62.86,76.0
25.96,工商管理,男,65.08,79.17,65.0
13.04,大数据管理,女,83.95,73.59,63.0
18.53,工商管理,男,76.11,78.01,77.0
20.92,电子商务,女,75.82,81.98,89.0
25.9,财务管理,女,91.37,88.31,89.0
17.01,工商管理,男,92.37,82.49,63.0
13.02,大数据管理,女,62.99,49.08,66.0
23.48,财务管理,男,65.01,74.67,96.0
12.78,工商管理,男,61.75,59.98,70.0
6.49,工商管理,男,64.96,74.35,78.0
10.0,工商管理,女,89.79,85.26,88.0
22.64,财务管理,男,63.3,61.55,86.0
20.21,财务管理,女,74.52,77.35,93.0
25.31,财务管理,男,46.34,62.34,78.0
5.0,财务管理,男,74.11,67.6,79.0
7.96,大数据管理,女,73.99,57.1,92.0
22.46,人工智能,女,59.62,71.33,92.0
14.62,工商管理,女,94.09,74.2,66.0
26.47,工商管理,女,100.0,89.37,86.0
27.66,财务管理,女,83.49,75.41,91.0
27.82,财务管理,女,76.97,71.25,78.0
11.08,工商管理,男,77.18,80.41,76.0
19.1,工商管理,男,71.22,60.99,90.0
10.06,财务管理,女,70.15,51.94,62.0
24.09,电子商务,女,79.47,74.86,66.0
22.69,工商管理,女,71.89,67.48,81.0
11.3,电子商务,男,77.33,60.84,82.0
22.81,工商管理,女,71.57,75.17,91.0
20.41,人工智能,女,63.89,53.08,76.0
27.94,电子商务,女,57.42,60.23,82.0
15.79,财务管理,男,33.8,58.8,64.0
22.06,工商管理,女,100.0,92.32,98.0
25.41,人工智能,男,72.85,70.61,97.0
31.19,电子商务,女,83.54,89.66,100.0
13.02,大数据管理,女,94.67,84.1,72.0
17.61,财务管理,女,66.6,71.3,64.0
10.77,电子商务,男,47.38,54.92,90.0
23.34,大数据管理,男,64.91,74.48,74.0
21.73,电子商务,女,83.71,65.55,93.0
12.67,工商管理,女,78.61,63.13,98.0
32.68,财务管理,女,76.23,81.38,75.0
24.52,大数据管理,女,69.48,75.69,90.0
22.72,工商管理,女,84.33,72.52,81.0
20.89,工商管理,男,47.01,62.47,85.0
10.03,人工智能,男,74.38,62.34,95.0
21.57,人工智能,女,88.13,74.42,61.0
22.97,大数据管理,女,73.74,84.14,95.0
13.73,财务管理,男,73.09,74.38,82.0
17.24,人工智能,男,100.0,75.0,89.0
17.02,电子商务,男,95.0,71.88,68.0
24.3,人工智能,女,100.0,81.93,77.0
25.14,大数据管理,男,45.21,59.27,64.0
7.06,工商管理,男,79.25,61.27,89.0
18.77,大数据管理,女,90.19,87.93,67.0
22.4,财务管理,男,91.58,86.09,80.0
27.17,工商管理,男,100.0,91.78,92.0
5.0,大数据管理,男,58.39,42.69,63.0
32.49,工商管理,男,69.72,86.68,86.0
25.81,财务管理,女,68.93,50.36,61.0
20.08,财务管理,男,67.29,72.58,62.0
20.93,大数据管理,女,72.81,76.57,64.0
17.69,电子商务,女,81.79,66.6,63.0
12.21,工商管理,男,83.72,86.65,96.0
10.38,大数据管理,女,95.86,76.51,81.0
17.29,工商管理,男,79.73,73.01,67.0
19.92,财务管理,男,65.71,70.88,98.0
13.43,人工智能,女,87.16,100.0,91.0
35.19,工商管理,男,64.89,83.22,83.0
28.35,财务管理,女,63.48,74.56,73.0
23.08,电子商务,男,52.05,53.25,66.0
19.62,工商管理,男,74.85,73.03,77.0
24.22,大数据管理,男,79.36,67.85,66.0
34.44,大数据管理,女,76.84,83.89,71.0
18.16,大数据管理,男,87.52,80.79,81.0
17.85,大数据管理,男,85.11,66.3,71.0
18.5,工商管理,女,86.78,76.0,72.0
16.64,工商管理,男,88.77,70.97,78.0
14.0,工商管理,男,77.54,74.7,89.0
19.98,财务管理,女,60.11,59.83,99.0
5.38,工商管理,女,74.49,65.9,82.0
27.27,工商管理,女,57.9,73.88,96.0
15.01,工商管理,女,100.0,79.07,66.0
9.2,大数据管理,女,76.04,65.71,98.0
5.0,大数据管理,女,38.76,52.33,94.0
15.97,人工智能,男,71.84,76.52,93.0
23.92,大数据管理,女,76.26,69.01,100.0
24.55,财务管理,男,100.0,84.88,65.0
33.93,工商管理,女,66.03,85.73,96.0
22.27,工商管理,女,49.02,62.73,61.0
12.58,大数据管理,女,88.38,75.44,86.0
6.93,人工智能,男,96.19,82.93,92.0
28.12,人工智能,男,71.72,74.13,65.0
33.75,人工智能,男,65.24,81.88,93.0
7.66,工商管理,女,47.44,30.11,60.0
27.42,工商管理,女,100.0,76.41,65.0
16.63,财务管理,男,66.99,73.36,84.0
21.38,工商管理,男,77.47,62.48,76.0
19.34,工商管理,女,73.18,74.69,93.0
27.43,大数据管理,女,89.06,79.67,75.0
21.77,财务管理,女,87.66,71.81,67.0
15.98,大数据管理,女,86.72,80.74,93.0
16.47,工商管理,男,100.0,88.03,95.0
16.28,工商管理,男,81.71,90.12,83.0
20.58,人工智能,男,76.52,68.25,92.0
19.35,工商管理,男,82.03,87.94,78.0
19.72,人工智能,女,80.23,78.17,83.0
10.34,大数据管理,男,75.84,65.26,95.0
23.12,财务管理,女,70.71,77.47,76.0
12.92,人工智能,女,49.81,61.13,93.0
26.33,工商管理,男,49.81,64.84,85.0
26.89,财务管理,男,61.48,66.51,63.0
27.51,大数据管理,女,59.92,60.57,68.0
6.02,财务管理,女,100.0,75.0,89.0
11.42,人工智能,女,58.73,63.73,65.0
22.05,人工智能,女,85.36,79.46,99.0
25.31,大数据管理,男,60.18,65.07,82.0
15.27,大数据管理,女,72.65,73.1,90.0
15.97,人工智能,男,77.62,76.02,80.0
29.15,工商管理,男,32.34,45.32,66.0
17.14,大数据管理,女,71.41,76.87,71.0
7.85,电子商务,女,97.84,79.28,86.0
26.32,财务管理,女,64.71,69.41,93.0
13.84,电子商务,女,90.7,80.53,89.0
21.88,人工智能,女,77.77,75.64,62.0
16.18,人工智能,女,75.78,80.26,96.0
25.36,工商管理,男,52.98,64.88,66.0
13.51,大数据管理,男,97.43,86.86,69.0
22.71,大数据管理,男,81.2,89.27,81.0
5.0,电子商务,男,62.91,68.47,87.0
16.08,财务管理,男,89.79,77.8,84.0
19.87,大数据管理,男,67.78,60.41,94.0
10.49,工商管理,男,73.53,79.75,71.0
8.97,大数据管理,女,92.26,75.69,89.0
12.75,大数据管理,男,56.89,54.42,74.0
26.55,大数据管理,男,87.46,67.94,72.0
20.24,财务管理,女,100.0,85.54,62.0
12.18,电子商务,女,73.53,68.28,64.0
6.55,大数据管理,男,54.07,41.37,80.0
7.63,大数据管理,男,75.82,69.67,74.0
17.79,人工智能,女,66.31,63.51,90.0
11.84,人工智能,女,57.87,80.28,64.0
18.26,大数据管理,女,69.06,62.25,67.0
26.81,电子商务,女,75.14,69.37,63.0
10.64,财务管理,女,52.78,51.63,88.0
32.13,人工智能,男,64.16,81.88,95.0
14.52,工商管理,女,85.88,71.94,93.0
10.75,工商管理,女,100.0,75.0,69.0
24.28,大数据管理,女,61.71,70.17,68.0
18.45,电子商务,男,100.0,75.0,60.0
15.14,电子商务,男,85.12,79.99,84.0
17.65,工商管理,女,85.3,95.44,99.0
21.17,工商管理,男,94.99,86.04,62.0
19.28,人工智能,女,59.63,65.51,60.0
15.21,电子商务,男,52.63,63.07,70.0
26.93,人工智能,女,62.71,77.63,64.0
9.52,人工智能,男,70.33,73.64,70.0
28.81,财务管理,女,100.0,94.58,99.0
22.13,工商管理,男,100.0,90.15,74.0
14.84,工商管理,男,61.9,54.92,66.0
8.78,人工智能,女,81.61,81.72,98.0
22.6,人工智能,男,91.54,74.94,86.0
28.05,工商管理,男,68.26,68.76,82.0
30.7,人工智能,男,62.67,51.44,86.0
18.76,人工智能,男,62.4,69.91,88.0
5.0,人工智能,女,76.37,57.67,83.0
25.46,大数据管理,男,74.78,81.37,76.0
21.18,工商管理,男,34.86,56.77,80.0
18.01,人工智能,男,75.49,78.42,79.0
32.89,电子商务,女,59.76,65.16,91.0
26.01,人工智能,女,69.52,82.1,84.0
23.21,人工智能,男,89.05,98.64,87.0
7.52,财务管理,女,81.83,77.65,82.0
22.4,财务管理,女,65.39,76.57,82.0
25.08,电子商务,女,52.43,63.33,79.0
18.06,电子商务,女,88.85,72.57,79.0
17.47,电子商务,女,49.07,66.4,98.0
26.38,财务管理,男,62.58,55.17,63.0
9.37,大数据管理,女,68.72,62.62,88.0
21.88,工商管理,男,72.8,55.87,62.0
14.39,财务管理,女,87.57,70.96,97.0
20.11,财务管理,女,86.19,82.72,66.0
35.05,工商管理,女,62.31,78.56,83.0
20.11,工商管理,女,100.0,83.91,63.0
35.5,人工智能,男,98.57,95.69,96.0
18.17,人工智能,男,93.56,68.56,100.0
18.24,工商管理,女,75.08,64.24,61.0
22.37,大数据管理,女,67.53,61.8,73.0
5.0,电子商务,女,60.42,54.17,91.0
17.49,大数据管理,男,91.27,83.98,65.0
27.74,电子商务,女,60.41,66.35,90.0
25.48,财务管理,男,70.63,69.01,98.0
23.43,大数据管理,女,75.58,57.35,66.0
19.88,财务管理,女,72.72,70.25,83.0
17.18,财务管理,女,69.82,63.34,95.0
5.8,工商管理,女,66.28,62.52,95.0
17.53,电子商务,男,87.67,72.36,86.0
31.5,财务管理,男,65.39,75.56,94.0
22.83,人工智能,女,79.64,71.42,67.0
19.16,工商管理,女,81.09,91.47,98.0
27.51,人工智能,男,68.42,76.44,80.0
14.56,财务管理,女,75.24,51.61,69.0
21.48,电子商务,男,69.54,59.79,84.0
11.92,电子商务,男,65.49,64.22,89.0
19.88,工商管理,女,75.27,66.23,74.0
22.37,大数据管理,男,77.98,52.98,84.0
21.04,电子商务,男,50.57,67.79,70.0
19.49,人工智能,女,65.91,73.72,73.0
13.29,大数据管理,男,100.0,88.89,94.0
9.38,大数据管理,女,72.68,60.95,77.0
35.25,工商管理,男,65.51,75.04,66.0
32.79,电子商务,男,69.13,71.19,73.0
14.91,工商管理,女,81.28,72.46,79.0
32.6,工商管理,女,50.23,58.98,83.0
16.99,大数据管理,男,65.35,79.72,96.0
20.97,人工智能,女,70.82,56.54,82.0
22.35,工商管理,男,69.4,81.54,95.0
12.37,财务管理,男,83.07,69.08,66.0
21.96,电子商务,女,83.75,73.74,75.0
13.89,财务管理,男,97.57,79.06,65.0
25.32,大数据管理,男,81.96,87.32,95.0
20.98,工商管理,女,42.76,67.76,96.0
14.96,财务管理,女,68.74,64.57,61.0
20.9,电子商务,男,69.98,64.39,82.0
16.89,工商管理,女,90.26,79.9,74.0
19.95,工商管理,女,66.01,80.96,66.0
34.67,电子商务,男,71.69,85.93,77.0
15.25,财务管理,男,82.56,82.84,87.0
22.41,工商管理,男,67.98,77.14,73.0
25.47,电子商务,女,55.63,70.38,83.0
16.26,财务管理,男,60.98,69.19,67.0
20.82,工商管理,女,83.8,70.99,65.0
22.29,人工智能,女,78.6,66.12,77.0
6.81,财务管理,男,74.77,67.18,97.0
18.21,大数据管理,女,76.93,62.35,66.0
5.0,工商管理,女,89.56,64.56,75.0
5.0,大数据管理,女,60.67,51.44,78.0
11.97,电子商务,女,69.98,87.05,62.0
29.82,工商管理,女,82.14,80.54,66.0
20.13,财务管理,女,77.12,76.14,84.0
24.56,大数据管理,女,72.74,66.86,87.0
8.2,财务管理,男,79.61,54.61,96.0
25.23,电子商务,男,80.58,75.26,98.0
6.17,人工智能,女,79.7,78.96,70.0
18.12,工商管理,女,99.36,83.6,70.0
11.68,工商管理,男,88.96,80.25,83.0
32.74,工商管理,女,65.18,77.61,81.0
12.43,财务管理,女,48.79,49.13,78.0
11.02,财务管理,女,63.11,76.23,93.0
13.54,大数据管理,男,100.0,76.21,67.0
9.48,电子商务,男,81.86,79.9,64.0
5.31,人工智能,女,77.04,69.42,90.0
28.22,工商管理,女,71.35,62.09,92.0
11.04,电子商务,男,71.12,60.45,98.0
16.62,人工智能,男,84.7,60.95,79.0
21.69,工商管理,女,74.12,82.82,99.0
15.29,人工智能,女,60.04,62.2,76.0
28.34,电子商务,女,90.14,68.85,73.0
15.43,工商管理,男,58.39,63.54,68.0
19.47,财务管理,女,74.16,65.17,79.0
13.95,大数据管理,女,79.0,57.92,80.0
14.26,人工智能,男,84.22,88.13,91.0
13.56,工商管理,女,86.45,73.6,77.0
29.01,人工智能,女,73.05,71.99,65.0
22.77,财务管理,女,58.17,63.6,96.0
11.74,电子商务,女,81.68,56.68,70.0
28.22,工商管理,男,57.26,61.37,90.0
16.98,工商管理,女,69.25,78.58,74.0
16.18,工商管理,女,62.81,59.03,74.0
22.26,财务管理,男,83.22,81.14,91.0
26.48,大数据管理,女,73.32,59.42,67.0
8.25,工商管理,女,74.81,53.7,75.0
17.47,大数据管理,男,70.89,76.39,96.0
40.0,电子商务,女,64.73,78.2,66.0
37.62,电子商务,女,91.88,98.27,62.0
20.13,财务管理,女,68.36,81.99,99.0
36.93,工商管理,男,91.53,89.03,90.0
15.77,财务管理,女,70.08,72.08,92.0
29.05,财务管理,男,78.62,78.62,97.0
5.31,电子商务,女,46.5,67.31,72.0
12.02,大数据管理,男,83.35,83.36,88.0
34.13,电子商务,男,66.16,74.91,80.0
14.2,电子商务,男,65.4,70.13,92.0
13.72,财务管理,女,67.87,76.59,65.0
14.84,人工智能,男,63.3,66.28,60.0
8.94,人工智能,男,69.14,78.47,85.0
21.17,工商管理,男,79.24,59.46,80.0
19.76,财务管理,女,73.67,74.41,88.0
33.53,财务管理,女,87.96,84.49,88.0
18.22,人工智能,男,66.72,79.37,80.0
17.69,工商管理,男,91.54,92.62,69.0
18.19,人工智能,女,80.67,73.48,86.0
19.25,财务管理,女,67.55,83.81,89.0
24.22,财务管理,女,69.56,86.57,86.0
22.09,工商管理,男,70.89,71.83,65.0
10.84,电子商务,女,95.37,100.0,90.0
12.92,财务管理,男,89.44,75.54,78.0
28.16,人工智能,女,64.29,70.84,82.0
27.91,工商管理,女,100.0,96.26,77.0
16.13,财务管理,男,64.76,60.41,71.0
20.99,财务管理,男,70.43,71.85,92.0
28.29,电子商务,女,71.38,83.99,83.0
30.06,人工智能,男,88.97,86.16,97.0
8.48,财务管理,女,66.06,45.55,82.0
21.87,大数据管理,女,64.5,66.5,65.0
17.64,电子商务,女,72.34,62.03,65.0
40.0,电子商务,男,58.45,82.75,97.0
21.22,工商管理,男,82.59,84.5,100.0
19.31,电子商务,女,93.72,94.89,92.0
13.17,财务管理,男,94.38,86.55,93.0
35.48,人工智能,女,92.2,93.76,73.0
19.44,人工智能,男,81.45,70.58,94.0
7.89,财务管理,男,94.5,81.67,73.0
22.67,电子商务,男,80.39,93.39,93.0
22.95,大数据管理,男,66.66,62.52,72.0
21.31,大数据管理,男,69.62,87.78,97.0
16.13,人工智能,女,93.59,75.08,81.0
24.76,财务管理,男,75.52,68.34,93.0
10.36,大数据管理,男,64.18,67.11,91.0
11.75,工商管理,男,83.82,81.88,92.0
18.92,大数据管理,女,55.2,69.66,76.0
5.0,工商管理,男,77.73,59.28,84.0
10.96,人工智能,女,70.0,67.42,65.0
34.1,财务管理,男,78.95,78.45,90.0
32.4,人工智能,女,88.04,74.97,68.0
18.1,电子商务,男,59.37,55.58,72.0
32.58,大数据管理,男,79.39,74.85,81.0
17.56,人工智能,男,100.0,85.99,67.0
20.94,电子商务,女,69.96,76.31,73.0
25.75,财务管理,女,19.17,35.35,69.0
29.84,大数据管理,男,60.08,73.43,97.0
20.56,财务管理,女,81.22,64.86,68.0
25.6,人工智能,女,62.42,69.33,65.0
10.07,财务管理,女,100.0,75.0,68.0
16.73,人工智能,男,62.63,54.64,75.0
14.67,财务管理,男,64.85,75.15,95.0
8.03,大数据管理,男,85.23,64.2,60.0
23.79,人工智能,女,68.94,70.98,82.0
32.29,工商管理,女,69.53,58.93,73.0
9.0,人工智能,女,88.16,82.98,79.0
35.22,人工智能,女,73.77,85.6,93.0
11.0,电子商务,女,74.22,67.81,77.0
12.67,工商管理,女,80.89,61.18,93.0
13.27,人工智能,女,80.94,83.72,89.0
11.3,大数据管理,男,63.76,56.09,71.0
